DATE,CPI
12/1/2015,99.79241995
1/1/2016,99.95738702
2/1/2016,100.0396596
3/1/2016,100.4704304
4/1/2016,100.9467675
5/1/2016,101.3551771
6/1/2016,101.6880646
7/1/2016,101.5235194
8/1/2016,101.6167617
9/1/2016,101.8610479
10/1/2016,101.9880431
11/1/2016,101.8294046
12/1/2016,101.8627356
1/1/2017,102.4563639
2/1/2017,102.7787036
3/1/2017,102.8622419
4/1/2017,103.1672834
5/1/2017,103.2554627
6/1/2017,103.3491269
7/1/2017,103.277824
8/1/2017,103.5870845
9/1/2017,104.1355683
10/1/2017,104.0697503
11/1/2017,104.0722817
12/1/2017,104.0111047
1/1/2018,104.5777307
2/1/2018,105.0519583
3/1/2018,105.289494
4/1/2018,105.7080294
5/1/2018,106.1476603
6/1/2018,106.3168465
7/1/2018,106.324019
8/1/2018,106.3830864
9/1/2018,106.5067063
10/1/2018,106.6948784
11/1/2018,106.3375201
12/1/2018,105.997882
1/1/2019,106.1999772
2/1/2019,106.6488902
3/1/2019,107.2505348
4/1/2019,107.8184265
5/1/2019,108.0479459
6/1/2019,108.0694634
7/1/2019,108.2500411
8/1/2019,108.2445563
9/1/2019,108.3293603
10/1/2019,108.5770219
11/1/2019,108.5187982
12/1/2019,108.4200711
1/1/2020,108.8407161
2/1/2020,109.1390069
3/1/2020,108.9014712
4/1/2020,108.1732534
5/1/2020,108.1753629
6/1/2020,108.7673036
7/1/2020,109.3174751
8/1/2020,109.6621761
9/1/2020,109.8149078
10/1/2020,109.8604741
11/1/2020,109.7933903
12/1/2020,109.8967585
1/1/2021,110.3642355
2/1/2021,110.9684115
3/1/2021,111.7544311
4/1/2021,112.6729306
5/1/2021,113.5762414
